time,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_dist,error_orient,computation_time,v1,v2,v3,v4,v5,v6
26.55,-0.10016884164116902,-0.40083348567518545,0.9526625592474758,-0.10074540238662061,-0.4003066887150977,0.9510428547164577,0.0017981601981341899,0.0049051952445506065,0.017081737518310547,0.05760473161668467,0.044029200791814806,-0.025971592586875928,-0.027045944514490848,-0.01102685197801185,0.48693600783010815
26.561,-0.09993135570122792,-0.40070151592621794,0.9527339864835839,-0.10050796873976503,-0.4001603639768473,0.9510313121438609,0.0018773459818769626,0.004054096728440209,0.04512977600097656,0.05760473161668467,0.044029200791814806,-0.025971592586875928,-0.027045944514490848,-0.01102685197801185,0.48693600783010815
26.568,-0.09965094704529952,-0.4005456942386672,0.9528183233301302,-0.10050796873976503,-0.4001603639768473,0.9510313121438609,0.0020190033618867737,0.006152202076318188,0.0053615570068359375,0.05760473161668467,0.044029200791814806,-0.025971592586875928,-0.027045944514490848,-0.01102685197801185,0.48693600783010815
26.576999999999998,-0.09932774374118755,-0.40036609177917126,0.9529155312689219,-0.10050796873976503,-0.4001603639768473,0.9510313121438609,0.002232831540255967,0.008713996241268441,0.026055574417114258,0.05760473161668467,0.044029200791814806,-0.025971592586875928,-0.027045944514490848,-0.01102685197801185,0.48693600783010815
26.585,-0.09896189340180067,-0.40016279057548504,0.953025565903301,-0.10050796873976503,-0.4001603639768473,0.9510313121438609,0.002523371335353439,0.011677376258487852,0.00935506820678711,0.05760473161668467,0.044029200791814806,-0.025971592586875928,-0.027045944514490848,-0.01102685197801185,0.48693600783010815
26.594,-0.09855356311773493,-0.3999358834790171,0.9531483769784208,-0.09949730821053471,-0.3994915903433264,0.9513536714411392,0.0020758177078333846,0.005528814582130717,0.00971221923828125,0.1124735819112595,0.09278267405557848,-0.040431504931635304,-0.047553395863746246,-0.010498196546610522,1.549811333083309
26.602,-0.09810293938096042,-0.39968547412242234,0.953283908404199,-0.09949730821053471,-0.3994915903433264,0.9513536714411392,0.0023890730600479573,0.009085368497003619,0.01007986068725586,0.1124735819112595,0.09278267405557848,-0.040431504931635304,-0.047553395863746246,-0.010498196546610522,1.549811333083309
26.611,-0.09761022799964694,-0.3994116768722714,0.953432098280934,-0.09949730821053471,-0.3994915903433264,0.9513536714411392,0.0028084365781622126,0.013088339054619046,0.024767637252807617,0.1124735819112595,0.09278267405557848,-0.040431504931635304,-0.047553395863746246,-0.010498196546610522,1.549811333083309
26.621,-0.09707565400416764,-0.39911461677681703,0.9535928789275768,-0.09949730821053471,-0.3994915903433264,0.9513536714411392,0.0033197241349817307,0.017473772093317335,0.031010150909423828,0.1124735819112595,0.09278267405557848,-0.040431504931635304,-0.047553395863746246,-0.010498196546610522,1.549811333083309
26.629,-0.09649946154432348,-0.39879442950888244,0.9537661769126413,-0.09761448461350332,-0.39836281046180233,0.952022877161865,0.0021139218215588027,0.004711558959722439,0.012485980987548828,0.17150687381574364,0.1409788039417489,-0.06111936513091386,-0.08021585367114509,-0.01862369290874094,1.1812101117294158
26.637,-0.09588191377783548,-0.3984512613038969,0.9539519130877423,-0.09761448461350332,-0.39836281046180233,0.952022877161865,0.002594379474055302,0.009574381645061249,0.013278722763061523,0.17150687381574364,0.1409788039417489,-0.06111936513091386,-0.08021585367114509,-0.01862369290874094,1.1812101117294158
26.645,-0.09522329275015583,-0.3980852688931076,0.9541500026237436,-0.09761448461350332,-0.39836281046180233,0.952022877161865,0.003212396392144853,0.014949927826590065,0.009620904922485352,0.17150687381574364,0.1409788039417489,-0.06111936513091386,-0.08021585367114509,-0.01862369290874094,1.1812101117294158
26.654,-0.0945238992656524,-0.39769661943199697,0.9543603550495017,-0.09761448461350332,-0.39836281046180233,0.952022877161865,0.003931835596224052,0.020706063139123862,0.02183985710144043,0.17150687381574364,0.1409788039417489,-0.06111936513091386,-0.08021585367114509,-0.01862369290874094,1.1812101117294158
26.661,-0.09378405275022597,-0.39728549042394057,0.9545828742931848,-0.09761448461350332,-0.39836281046180233,0.952022877161865,0.004731428117973956,0.026814235434199477,0.0056345462799072266,0.17150687381574364,0.1409788039417489,-0.06111936513091386,-0.08021585367114509,-0.01862369290874094,1.1812101117294158
